Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
940,"Yuting II Type 072III landing ship Name: Tiantai Shan/天台山, Commisioned:2002, Tons:4800, Fleet:East Sea Fleet",Type 072III landing ship,Yuting II class,940,Tiantai Shan,天台山,2002,4800,East Sea Fleet,Active
911,"Yuting III Type 072A landing ship Name: Tianzhu Shan/天柱山, Commisioned:2003, Tons:4800, Fleet:North Sea Fleet",Type 072A landing ship,Yuting III class,911,Tianzhu Shan,天柱山,2003,4800,North Sea Fleet,Active
912,"Yuting III Type 072A landing ship Name: Daqing Shan/大青山, Commisioned:2003, Tons:4800, Fleet:North Sea Fleet",Type 072A landing ship,Yuting III class,912,Daqing Shan,大青山,2003,4800,North Sea Fleet,Active
913,"Yuting III Type 072A landing ship Name: Baxian Shan/八仙山, Commisioned:2003, Tons:4800, Fleet:East Sea Fleet",Type 072A landing ship,Yuting III class,913,Baxian Shan,八仙山,2003,4800,East Sea Fleet,Active
992,"Yuting III Type 072A landing ship Name: Huading Shan/华顶山, Commisioned:2003, Tons:4800, Fleet:South Sea Fleet",Type 072A landing ship,Yuting III class,992,Huading Shan,华顶山,2003,4800,South Sea Fleet,Active
993,"Yuting III Type 072A landing ship Name: Luoxiao Shan/罗宵山, Commisioned:2004, Tons:4800, Fleet:South Sea Fleet",Type 072A landing ship,Yuting III class,993,Luoxiao Shan,罗宵山,2004,4800,South Sea Fleet,Active
994,"Yuting III Type 072A landing ship Name: Daiyun Shan/戴云山, Commisioned:2004, Tons:4800, Fleet:South Sea Fleet",Type 072A landing ship,Yuting III class,994,Daiyun Shan,戴云山,2004,4800,South Sea Fleet,Active
995,"Yuting III Type 072A landing ship Name: Wanyang Shan/万羊山, Commisioned:2004, Tons:4800, Fleet:South Sea Fleet",Type 072A landing ship,Yuting III class,995,Wanyang Shan,万羊山,2004,4800,South Sea Fleet,Active
996,"Yuting III Type 072A landing ship Name: Laotie Shan/老铁山, Commisioned:2005, Tons:4800, Fleet:South Sea Fleet",Type 072A landing ship,Yuting III class,996,Laotie Shan,老铁山,2005,4800,South Sea Fleet,Active
997,"Yuting III Type 072A landing ship Name: Lühua Shan/绿华山, Commisioned:2004, Tons:4800, Fleet:South Sea Fleet",Type 072A landing ship,Yuting III class,997,Lühua Shan,绿华山,2004,4800,South Sea Fleet,Active
981,"Yuting III Type 072A landing ship Name: Dabie Shan/大别山, Commisioned:2015, Tons:4800, Fleet:East Sea Fleet",Type 072A landing ship,Yuting III class,981,Dabie Shan,大别山,2015,4800,East Sea Fleet,Active
